Date,Open,High,Low,Close,Volume
2013-04-10,390.0,394.7,386.55,392.54,3971900
2013-04-11,394.96,395.07,390.57,392.64,4072500
2013-04-12,394.52,394.57,390.0,392.47,3285500
2013-04-15,391.51,397.01,387.06,388.44,4924500
2013-04-16,391.83,396.51,390.5,394.12,3496900
2013-04-17,391.91,393.94,387.6,388.75,4089100
2013-04-18,391.21,391.43,379.21,380.48,6669800
2013-04-19,383.14,400.22,381.7,397.35,11649800
2013-04-22,398.81,400.48,386.05,397.47,5788300
2013-04-23,399.0,406.23,398.69,401.34,4601600
2013-04-24,402.55,407.47,402.49,404.09,3671800
2013-04-25,406.6,406.71,402.31,401.94,3999200
2013-04-26,402.29,402.36,396.8,398.13,4993900
2013-04-29,400.13,409.81,400.0,406.88,4618800
2013-04-30,407.97,412.27,407.31,409.62,4630600
2013-05-01,410.09,410.82,406.66,407.56,2920800
2013-05-02,408.52,415.72,408.0,412.13,4051600
2013-05-03,416.92,421.82,416.44,420.13,5044000
2013-05-06,422.55,429.32,422.55,427.99,4298500
2013-05-07,429.89,430.32,423.75,425.84,3932600
2013-05-08,426.9,435.31,424.86,433.99,4955000
2013-05-09,433.79,438.19,432.49,432.92,4417600
2013-05-10,436.02,438.63,434.45,437.27,3809500
2013-05-13,437.8,439.59,435.06,435.93,2907700
2013-05-14,437.11,442.69,436.93,440.68,3170300
2013-05-15,446.08,456.48,445.34,454.98,8001600
2013-05-16,457.78,458.27,449.32,449.02,6443200
2013-05-17,453.31,455.04,448.58,451.65,5604800
2013-05-20,450.81,458.58,450.81,451.33,4562300
2013-05-21,452.31,454.13,447.13,450.55,3980700
2013-05-22,449.59,452.96,441.78,441.84,5140300
2013-05-23,436.86,443.32,435.37,438.55,4567200
2013-05-24,436.0,437.77,433.88,433.84,4610700
2013-05-28,440.1,444.4,438.56,437.79,4531900
2013-05-29,436.22,437.36,430.53,431.35,4041800
2013-05-30,433.34,437.81,431.59,432.57,4257200
2013-05-31,432.44,436.86,432.14,432.79,3953500
2013-06-03,434.87,435.35,425.91,431.01,4969900
2013-06-04,432.3,433.67,425.44,426.78,3751100
2013-06-05,429.64,433.1,426.96,427.08,4229300
